군번,2026-02-07,2026-02-08,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-14,2026-02-15,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-21,2026-02-22,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-02-28
25-760001,불침번1, , , , , , , , , , , ,불침번2, , , , , , , , , 
25-760002,불침번2, , , , , , , , , , , ,불침번3, , , , , , , , , 
25-760003,불침번3, , , , , , , , , , , ,불침번4, , , , , , , , , 
25-760004,불침번4, , , , , , , , , , , ,불침번5, , , , , , , , , 
25-760005,불침번5, , , , , , , , , , , , ,불침번1, , , , , , , , 
25-760006, ,불침번1, , , , , , , , , , , ,불침번2, , , , , , , , 
25-760007, ,불침번2, , , , , , , , , , , ,불침번3, , , , , , , , 
25-760008, ,불침번3, , , , , , , , , , , ,불침번4, , , , , , , , 
25-760009, ,불침번4, , , , , , , , , , , ,불침번5, , , , , , , , 
25-760010, ,불침번5, , , , , , , , , , , , ,불침번1, , , , , , , 
25-760011, , ,불침번1, , , , , , , , , , , ,불침번2, , , , , , , 
25-760012, , ,불침번2, , , , , , , , , , , ,불침번3, , , , , , , 
25-760013, , ,불침번3, , , , , , , , , , , ,불침번4, , , , , , , 
25-760014, , ,불침번4, , , , , , , , , , , ,불침번5, , , , , , , 
25-760015, , ,불침번5, , , , , , , , , , , , ,불침번1, , , , , , 
25-760016, , , ,불침번1, , , , , , , , , , , ,불침번2, , , , , , 
25-760017, , , ,불침번2, , , , , , , , , , , ,불침번3, , , , , , 
25-760018, , , ,불침번3, , , , , , , , , , , ,불침번4, , , , , , 
25-760019, , , ,불침번4, , , , , , , , , , , ,불침번5, , , , , , 
25-760020, , , ,불침번5, , , , , , , , , , , , ,불침번1, , , , , 
25-760021, , , , ,불침번1, , , , , , , , , , , ,불침번2, , , , , 
25-760022, , , , ,불침번2, , , , , , , , , , , ,불침번3, , , , , 
25-760023, , , , ,불침번3, , , , , , , , , , , ,불침번4, , , , , 
25-760024, , , , ,불침번4, , , , , , , , , , , ,불침번5, , , , , 
25-760025, , , , ,불침번5, , , , , , , , , , , , ,불침번1, , , , 
25-760026,응급대기,응급대기,응급대기,응급대기,응급대기,응급대기,응급대기,응급대기,응급대기,응급대기,응급대기,응급대기,응급대기,응급대기,응급대기,응급대기,응급대기,응급대기,응급대기,응급대기,응급대기,응급대기
25-760027,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기, , , , , , , , , ,불침번2, , , , 
25-760028,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기, , , , , , , , , ,불침번3, , , , 
25-760029,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기, , , , , , , , , ,불침번4, , , , 
25-760030,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기, , , , , , , , , ,불침번5, , , , 
25-760031,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기, , , , , , , , , , ,불침번1, , , 
25-760032,휴가,휴가,휴가,휴가, ,불침번1, , , , , , , , , , , , ,불침번2, , , 
25-760033,휴가,휴가,휴가,휴가,휴가,휴가,휴가,휴가, , , , , , , , , , ,불침번3, , , 
25-760034,휴가,휴가,휴가,휴가,휴가,휴가, , , , , , , , , , , , ,불침번4, , , 
25-760035, , , ,휴가,휴가,휴가,휴가,휴가,휴가,휴가,휴가,휴가,휴가, , , , , ,불침번5, , , 
25-760036, , , , , ,불침번2, , ,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기
25-760037, , , , , ,불침번3, , ,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기
25-760038, , , , , ,불침번4, , ,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기
25-760039, , , , , ,불침번5, , ,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기
25-760040, , , , , , ,불침번1, ,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기,5대기
25-760041, , , , , , ,불침번2, , , , ,휴가,휴가,휴가,휴가,휴가,휴가,휴가, ,불침번1, , 
25-760042, , , , , , ,불침번3, , , , , , ,휴가,휴가,휴가,휴가,휴가,휴가,휴가,휴가, 
25-760043, , , , , , ,불침번4, , , , , , , , ,휴가,휴가,휴가,휴가,휴가,휴가,휴가
25-760044, , , , , , ,불침번5, , , , , , , , , , ,휴가,휴가,휴가,휴가,휴가
25-760045, , , , , , , ,불침번1, , , , , , , , , , ,휴가,휴가,휴가,휴가
25-760046, , , , , , , ,불침번2, , , , , , , , , , , ,휴가,휴가,휴가
25-760047, , , , , , , ,불침번3, , , , , , , , , , , ,불침번2, , 
25-760048, , , , , , , ,불침번4, , , , , , , , , , , ,불침번3, , 
25-760049, , , , , , , ,불침번5, , , , , , , , , , , ,불침번4, , 
25-760050, , , , , , , , ,불침번1, , , , , , , , , , ,불침번5, , 
25-760051, , , , , , , , ,불침번2, , , , , , , , , , , ,불침번1, 
25-760052, , , , , , , , ,불침번3, , , , , , , , , , , ,불침번2, 
25-760053, , , , , , , , ,불침번4, , , , , , , , , , , ,불침번3, 
25-760054, , , , , , , , ,불침번5, , , , , , , , , , , ,불침번4, 
25-760055, , , , , , , , , ,불침번1, , , , , , , , , , ,불침번5, 
25-760056, , , , , , , , , ,불침번2, , , , , , , , , , , ,불침번1
25-760057, , , , , , , , , ,불침번3, , , , , , , , , , , ,불침번2
25-760058, , , , , , , , , ,불침번4, , , , , , , , , , , ,불침번3
25-760059, , , , , , , , , ,불침번5, , , , , , , , , , , ,불침번4
25-760060, , , , , , , , , , ,불침번1, , , , , , , , , , ,불침번5
25-760061, , , , , , , , , , ,불침번2, , , , , , , , , , , 
25-760062, , , , , , , , , , ,불침번3, , , , , , , , , , , 
25-760063, , , , , , , , , , ,불침번4, , , , , , , , , , , 
25-760064, , , , , , , , , , ,불침번5, , , , , , , , , , , 
25-760065, , , , , , , , , , , ,불침번1, , , , , , , , , , 
25-760066, , , , , , , , , , , ,불침번2, , , , , , , , , , 
25-760067, , , , , , , , , , , ,불침번3, , , , , , , , , , 
25-760068, , , , , , , , , , , ,불침번4, , , , , , , , , , 
25-760069, , , , , , , , , , , ,불침번5, , , , , , , , , , 
25-760070, , , , , , , , , , , , ,불침번1, , , , , , , , , 
25-760001,불침번1, , , , , , , , , , , ,불침번2, , , , , , , , , 
25-760002,불침번2, , , , , , , , , , , ,불침번3, , , , , , , , , 
25-760003,불침번3, , , , , , , , , , , ,불침번4, , , , , , , , , 
25-760004,불침번4, , , , , , , , , , , ,불침번5, , , , , , , , , 
25-760005,불침번5, , , , , , , , , , , , ,불침번1, , , , , , , , 
25-760006, ,불침번1, , , , , , , , , , , ,불침번2, , , , , , , , 
25-760007, ,불침번2, , , , , , , , , , , ,불침번3, , , , , , , , 
25-760008, ,불침번3, , , , , , , , , , , ,불침번4, , , , , , , , 
25-760009, ,불침번4, , , , , , , , , , , ,불침번5, , , , , , , , 
25-760010, ,불침번5, , , , , , , , , , , , ,불침번1, , , , , , , 
25-760011, , ,불침번1, , , , , , , , , , , ,불침번2, , , , , , , 
25-760012, , ,불침번2, , , , , , , , , , , ,불침번3, , , , , , , 
25-760013, , ,불침번3, , , , , , , , , , , ,불침번4, , , , , , , 
25-760014, , ,불침번4, , , , , , , , , , , ,불침번5, , , , , , , 
25-760015, , ,불침번5, , , , , , , , , , , , ,불침번1, , , , , , 
25-760016, , , ,불침번1, , , , , , , , , , , ,불침번2, , , , , , 
25-760017, , , ,불침번2, , , , , , , , , , , ,불침번3, , , , , , 
25-760018, , , ,불침번3, , , , , , , , , , , ,불침번4, , , , , , 
